ああ	嗚呼
あかふくごおり	あかふく氷
あかまなこ	赫眼
あかむかで	朱ムカデ
あかもく	赤目
あかもんどおり	赤門通
あかり	灯火
あかんまちどおり	赤間町通り
あが	上
あがた	県
あがたもり	県守
あがたもりのふち	県守淵
あがりやま	東山
あがるみっく	恵与
あがるみっく	恵与的
あき	秋
あき	精
あきこ	明子
あきご	秋蚕
あきしの	秋篠
あきしまし	昭島市
あきたか	昭孝
あきち	空地
あきつかい	蜻蛉会
あきつしま	蜻蛉島
あきつみかみ	現御神
あきなり	昭登
あきのり	昭則
あきのり	章憲
あきひと	明仁
あきひとへいか	明仁陛下
あきもと	秋本
あきやま	秋山
あきやまのしたひおとこ	秋山之下氷壮夫
あきら	明羅
あきら	昿
あきら	章
あきらか	明
あきらのみや	明宮
あぎ	阿伎
あぎとげんしゅ	顎門原種
あぎょう	阿形
あくあ	水冠
あくいん	悪胤
あくえりあす	水域
あくしすぴらー	中枢塔
あくたがわしょう	芥川賞
あくどうじ	悪童子
あくね	英祢
あくま	彼女
あくま	阿久魔
あくまげんすい	悪魔元帥
あくまぞく	悪魔族
あくまどうじん	悪魔道人
あくまばら	悪魔祓
あくまひゃくれっくすけん	悪魔百烈恐竜拳
あくまりき	アクマ力
あぐいがわ	阿久比川
あぐん	鴉軍
あけ	暁
あけびはら	山女原
あけんばら	山女原
あげかえし	揚返
あげかえしこうじょう	揚返工場
あげし	上石
あげひばり	揚雲雀
あこ	明子
あこうま	赤馬
あこおうじじんじゃ	悪王子神社
あこまる	阿古丸
あこめ	袙
あご	顎
あごあしつき	顎足付き
あごあしまくらつき	顎足枕付き
あごう	阿号
あさか	浅香
あさぎり	朝霧
あさぎわし	浅葱鷲
あさぐも	朝雲
あさげ	朝餉
あさこ	麻子
あさごはん	朝御飯
あさしん	暗殺者
あさだ	浅田
あさひまち	朝日町
あさみ	麻美
あさめし	朝飯
あざ	字
あざしょうみょう	字小名
あざな	字
あざり	阿闇梨
あしおと	足音
あしか	海驢
あしかがばくふ	足利幕府
あしかがよう	足利様
あしかせ	足枷
あしがるがさ	足軽笠
あしがわ	芦川
あしげんしゅ	足原種
あしこく	芦国
あした	朝
あした	未来
あしつうら	葦津浦
あしはら	葦原
あしゅらおう	阿修羅王
あしょろがわ	足寄川
あじあ	亜細亜
あじやしゅう	亜細亜洲
あじょん	代理人
あじろあみ	網代編
あじろがさ	網代笠
あじわい	味
あすか	明日香
あすか	飛鳥
あすけがわ	足助川
あすてりずむのかいてん	アステリズムの廻転
あすむ	明日夢
あすわがわ	足羽川
あずきあらい	小豆洗い
あずさ	梓
あずま	吾妻
あずま	東
あずまうた	東歌
あずまざか	東阪
あずまみや	東宮
あぜくら	校倉
あそざんなげ	阿蘇山投げ
あそゆるっとはく	阿蘇ゆるっと博号
あた	与
あた	中
あた	当
あた	當
あたい	直
あたいうじ	直氏
あたか	恰
あたまあわせかさ	頭合わせ笠
あたわ	能
あだ	仇
あだ	寇
あだう	仇討
あだなし	雔
あだびと	徒人
あだむへっど	聖断罪
あぢか	足近
あぢしきたかひこねのかみ	阿遅志貴高日子根神
あっかんべん	悪漢鞭
あっせん	斡旋
あっぱしおなーと	激情的に
あっぴがわ	安比川
あつ	篤
あつ	集
あつお	敦生
あつがりや	暑がりや
あつき	篤輝
あつこ	篤子
あつまれ	集合
あつもの	羹
あつりょくがま	圧力釜
あつれき	軋轢
あづか	関
あづちまち	安土町
あづま	吾妻
あてぃあ	阿媂娅
あてがね	当金
あてびと	貴人
あでのしんさんりんさん	アデノシン三リン酸
あと	痕
あとざらし	後晒
あとり	花鶏
あどがわ	安曇川
あなが	強
あなさこたに	穴迫谷
あなさこだに	穴迫谷
あなざーでんおう	アナザー電王
あなすはじめ	穴巣始
あなた	宇宙
あなど	穴門
あなにひみ	阿那爾比弥
あなほのみこ	穴穂御子
あなほのみや	穴穂宮
あなーきー	無政府
あに	豈
あにま	意思
あねじま	姉島
あのくたらさんみゃくさんぼだい	阿耨多羅三藐三菩提
あはせて	合
あば	網場
あばたろうきわみ	暴太郎極
あばれごま	暴れ独楽
あひした	相親
あひだ	間
あびのかしはら	阿備柏原
あふぎ	扇
あふさか	逢坂
あふりか	阿弗利加
あぶ	襾部
あぶえ	虻江
あぶでんみそ	油伝味噌
あぶみがわ	鐙革
あぶらさかふなはし	油阪船橋
あぶらつ	油津
あぶらつきなめりばんとう	油坏滑蛮刀
あぶらめまんぷく	脂目マンプク
あぶらや	油屋
あぶらやまかんこうどうろ	油山観光道路
あぶるまがわ	破間川
あぷれんてぃす	見習い徒弟
あべにゅ	並木道
あぼしさん	阿星山
あま	余
あま	天
あま	尼
あま	海人
あま	蜑
あま	阿麻
あまかぜ	天風
あまかわ	天川
あまがさ	雨笠
あまがさきじゅんさ	尼崎巡査
あまくさしろうときさだ	天草四郎時貞
あまくだり	天下り
あまくだり	雨降り
あますがわ	天増川
あまず	天水
あまぞねす	女傑
あまたけ	天獄
あまだな	天棚
あまちせんせい	天地先生
あまつくに	天国
あまつまら	天津麻羅
あまてらす	天照大御神
あまてらす	女神
あまてらすおおみかみ	天照大御神
あまにゅうどう	尼入道
あまぬの	亜麻布
あまね	普
あまの	天野
あまのかぜ	天の風
あまのがは	銀河
あまのがわ	銀河
あまのがわがくえんとし	天ノ川学園都市
あまのじんじゃ	天野神社
あまのぬなはらおきのまひとのすめらみこと	天渟中原瀛真人天皇
あまのはばきり	天羽々斬
あまのむらくものつるぎ	天叢雲剣
あまひこのみこと	天日子尊
あまびこにゅうどう	尼彦入道
あまみこくとうしょうちゅう	奄美黒糖焼酎
あまやま	雨山
あまり	余
あみがさ	編笠
あみこう	網高
あむし	阿無志
あめ	天
あめ	阿毎
あめ	飴
あめいじんぐ	亜雌異人愚
あめくにおしはるきひろにわのすめらみこと	天国押波流岐広庭天皇
あめくにおしはるきひろにわのすめらみこと	天国押波琉岐広庭天皇
あめつち	天地
あめのうずめのみこと	天宇受売命
あめのこやねのみこと	天児屋根命
あめのひほこ	天之日矛
あめのほひのかみ	天菩比神
あめのみなかぬしのかみ	天御中主神
あめのわかひこ	天若日子
あめみや	雨宮
あめりか	亜米利加
あめりかかくめい	アメリカ革命
あめりかがっしゅうこくのどくりつ	アメリカ合衆国の独立
あめりかどくりつかくめい	アメリカ独立革命
あめりかぶんがく	アメリカ文学
あめわかひこじんじゃ	天稚彦神社
あもん	阿門
あや	亜矢
あや	危
あや	彩
あや	文
あや	絢
あやいがさ	綾藺笠
あやか	彩香
あやかし	綾香市
あやかし	鬼惑
あやかじのね	彩風の音
あやかほし	妖奇星
あやがさ	綾笠
あやつりにんぎょう	西洋操人形
あやま	誤
あやまちりょう	過料
あやまり	失
あやみ	彩美
あやめ	菖蒲
あやゐかさ	綾藺笠
あゆすし	鮎鮓
あゆちがた	年魚市方
あゆちがた	年魚市潟
あゆみ	進歩
あら	見
あら	露
あら	非
あら	顕
あらえだんち	荒江団地
あらおい	新生
あらかつま	阿羅羯磨
あらかわ	新川
あらかわ	荒川
あらき	荒木
あらくれむてきじょう	荒くれ無敵城
あらくれもの	荒くれ者
あらごと	荒事
あらごも	荒菰
あらた	新
あらた	荒田
あらちえき	愛発駅
あらは	效
あらま	荒増
あらやしきえんぎ	阿頼耶識縁起
あらやしきのしるし	アラヤシキの徴
あららぎ	阿良良伎
あらりえき	粗利益
あらりえき	荒利益
あらりりつ	粗利率
あられ	霰
あらわ	著
あらわ	露
あらわ	顕
あり	在
あり	有
ありあけのかた	有明の方
ありがた	難有
ありきた	有北
ありさま	有様
ありはら	在原
ありはらぐち	在原口
ありみち	在通
ありん	阿璘
ありーんれいきゃくき	アリーン冷却器
ある	或
あるい	乍
あるい	或
あるかいっくすまいる	仏像の微笑
あるかなむ	神の力
あるじ	主
あるでばらん	神盟騎士団
あるひと	或人
あれ	阿禮
あれくす	荒楠
あれぢ	荒地
あれてー	徳
あわき	淡木
あわぎ	阿波伎
あわじ	安治
あわじまち	淡路町
あわせ	袷
あわづかんじゃ	粟津冠者
あわび	鮑
あわれ	愍
あわれ	憐
あをふち	青淵
あんき	暗記
あんぎす	蛇の使徒
あんぐわい	案外
あんげん	安元
あんこくきしがうざー	暗黒騎士ガウザー
あんこくきしぜくす	暗黒騎士ゼクス
あんこくきしぜむ	暗黒騎士ゼム
あんこくけんくらやみ	闇黒剣月闇
あんこくしょうはどう	暗黒掌波動
あんこくのしとがいるとん	暗黒の使徒ガイルトン
あんこくのよろい	暗黒の鎧
あんこくほう	暗黒咆
あんこーる	世界録
あんしょうばんごう	暗証番号
あんしよう	暗誦
あんじゃく	晏弱
あんじゅ	案主
あんじゅしと	晏孺子荼
あんじんしゃ	安神車
あんせむ	讃歌
あんぜん	安全
あんそりっと	突飛なるもの
あんたんだん	地方総監
あんだーさーきっと	地下廻路
あんちくしょう	安竹小
あんてぃーく	実弾兵器
あんてん	鞍点
あんでそん	安大成
あんとろほもるぴしす	安杜路卜木児畢思
あんどろめだざ	アンドロメダ座
あんどん	闇呑
あんな	安和
あんびりかりあ	石に耳あり
あんまく	暗幕
あんまはかせ	案摩博士
あんゆ	暗喩
あんらく	安樂
あんりゅう	安立
あーくとう	円弧灯
あーくるーじゅ	紅い聖櫃
あーすどらごんぞく	大地竜族
あーてぃふぁくと	古代遺物
あーむどしるばー	銀肢脚
あーむどひびき	装甲響鬼
あーむどぶらっく	黒肢脚
いあんふ	慰安婦
いい	逶迤
いいのや	井伊谷
いいひと	好いひと
いうきよう	遊興
いうくわく	遊廓
いうけい	有形
いうりよく	有力
いぇんじゅう	炎駒
いぇーがー	猟兵団
いえ	家
いえ	屋
いえど	雖
いえろーどらごんぞく	黄竜族
いおうざん	硫黄山
いおぎ	岩脇
いおし	五百禩
いか	医家
いか	厳
いか	如何
いかいりゅう	倚海竜
いかおりがみ	烏賊折神
いかがく	医科学
いかごりんだん	烏賊五輪弾
いかすみほう	烏賊墨砲
いかずち	雷
いかずちいあい	黄雷居合
いかずちいっそう	雷一掃
いかつおみ	雷大臣命
いかづち	雷
いかづち	雷霆
いかづちりゅう	迅雷流
いかでぃすく	烏賊ディスク
いかやりぶすま	烏賊槍ぶすま
いかり	伊刈
いかり	錨
いかる	怒る
いかれいとう	烏賊冷凍
いかん	云何
いかん	如何
いがい	意外
いがく	医学
いがさ	藺笠
いがさきにんじゅつどうじょう	伊賀崎忍術道場
いがせん	伊賀線
いがやくりすけ	伊賀谷栗助
いきおい	勢
いきだんち	壱岐団地
いきまつだい	生松台
いきもの	生き物
いきょ	依拠
いぎ	意義
いぎょう	異形
いぎょうてい	囲繞堤
いぎりすひがしいんどがいしゃ	イギリス東インド会社
いくぐひ	活杙神
いくこ	偉恭子
いくさ	戦
いくさがみ	戦神
いくど	幾度
いくばい	幾倍
いくばく	幾許
いくまつ	幾松
いくめいりびこいさちのみこと	伊久米伊理毘古伊佐知命
いぐさ	藺草
いけ	医家
いけがきしんたろう	生垣真太郎
いけじゅん	池純
いけずき	生食
いけたに	池谷
いけだ	池田
いけなみ	池波
いけのうえ	掖上
いけのうち	池之内
いけのうのみこと	池生命
いけんしんさせい	違憲審査制
いげたにかさ	井桁に笠
いご	囲碁
いさ	諫
いさい	畏斎
いさい	鷧齋
いさお	勇雄
いさか	伊坂
いさか	諍
いさぎよ	潔
いさにい	イサ兄
いさみあし	勇み足
いさをし	勲
いざ	伊邪
いざかはのみや	伊邪河宮
いざきししょ	伊崎支所
いざな	誘
いざなきのみこと	伊邪那岐命
いざなぎ	伊邪那岐
いざなみ	伊邪那美
いざなみのみこと	伊邪那美命
いざほわけのみこ	伊邪本若気王
いざほわけのみこと	伊邪本和氣命
いざよいきゅうえもん	十六夜九衛門
いざりがわ	漁川
いし	医士
いし	宝石
いしい	石井
いしおかだいいちはつでんしょ	石岡第一発電所
いしかり	石狩
いしかわしゅばるつごえもん	石川シュバルツ五右衛門
いしかわみきあき	石河幹明
いしきりみち	石切道
いしぐろ	石畦
いしこりどめのみこと	伊斯許理度売命
いしだ	石田
いしだいら	石平
いしついじ	石築地
いしの	石野
いしぶみ	碑
いしま	石島
いしょういっしんにんしゅりけん	衣装一新忍シュリケン
いしょく	委嘱
いしよくぢう	衣食住
いしらい	石占井
いしんこう	惟新公
いじかおいつめ	猪鹿追詰
いじゅく	異熟
いじんおうこう	懿仁王后
いすけ	伊助
いすけよりひめ	伊須気余理比売
いすず	五十鈴
いず	何
いずかた	何方
いずくん	安
いずこ	何処
いずはやおのみこと	出早雄命
いずみや	和泉屋
いずもいわい	出雲伊波比
いずもたける	出雲建
いせい	医生
いせいきゅう	韋斉休
いせんば	鋳銭場
いそ	磯
いそたけるのみこと	五十猛命
いそぢまりななとせ	五十七歳
いそぢまりふたとせ	五十二歳
いそぢまりむとせ	五十六歳
いそなか	石中
いその	磯野
いそのかみ	石上
いそのみや	磯宮
いそむら	磯村
いそや	磯谷
いそん	韡村
いた	甚
いた	至
いたくら	板倉
いだ	出
いだ	抱
いち	一
いち	市
いちい	櫟
いちいのつぼね	一位局
いちおう	一応
いちおくそうはくちか	一億総白痴化
いちく	市村
いちくいん	市来院
いちごう	一毫
いちざき	市崎
いちしょうやばんこく	一小野蛮国
いちしん	市神
いちじく	無花果
いちじょうそうしれい	一条総司令
いちにん	一人
いちの	市野
いちのさわ	一谷
いちのたに	一の谷
いちのの	市野々
いちのべのおしはのきみ	市辺之忍歯王
いちのむら	一ノ村
いちびと	市人
いちめ	市女
いちめがさ	市女笠
いちもんじがさ	一文字笠
いちもんじぷれす	一文字プレス
いちりつ	市立
いちりゅう	一柳
いちろう	一郎
いぢわる	意地惡
いっかくせいばゆにごるおん	一角聖馬ユニゴルオン
いっかくせんきん	一攫千金
いっかくどう	一攫洞
いっかんけんじょう	一貫献上
いっきゅうけん	一級剣
いっきょう	一矯
いっこく	一国
いっさん	一山
いっしにいみょうをつけこうかいせしはなし	一子に異名を付けて後悔せし話
いっしんでん	一身田
いっせい	一成
いっせいにんれつざん	一斉忍烈斬
いっそくひゃくそくへそのかみ	一束百束ヘソの守
いっだましい	生魂
いっとうりゅう	逸刀流
いっとごけん	一都五県
いっぴつそうじょう	一筆奏上
いっぺい	一平
いっぺきばんけい	一碧萬頃
いっぼう	一防
いっぽんばな	一本花
いつ	云
いつ	何時
いつ	鎰
いつき	斎
いつき	齋
いつしにいめうをつけこうくわいなす	一子異名ヲ付後悔成話
いつしにゐめうをつけてこうくわいせし	一子に異名を付けて後悔せし話
いつちよ	一丁
いつつ	五
いつついちめがさ	五つ市女笠
いつつよせたちばな	五つ寄せ橘
いつてん	一點
いつびしにほんじゅうこう	五菱日本重工
いつぶ	聿部
いつぽう	一法
いつまでん	以津真天
いつらく	逸樂
いづな	飯綱
いづはやお	出早雄
いづら	五浦
いで	出
いでがわ	井出川
いでこ	入鼓
いでみつおんがくしょう	出光音楽賞
いでんし	遺伝子
いでんじょうほう	遺伝情報
いと	孫
いとう	伊藤
いとう	伊透
いとうけんいつ	伊藤憲一
いとうこざえもん	伊藤小左衛門
いとしろ	石徹白
いとしろがわ	石徹白川
いとすぎとさくらのきょうそう	糸杉と桜の協奏
いとま	遑
いとよね	糸米
いどろ	維泥
いな	否
いないちょうたんかな	意内長短称
いなお	鋳直
いなおいがわ	稲生川
いなしひつなしこなしがなし	毋意毋必毋固毋我
いなずまれんどう	稲妻連動
いなばちょうどおり	因幡町通り
いなもとさん	稲本さん
いなりいちもん	イナリ一門
いにしえ	古
いにしえのごせいてんし	古の護星天使
いにしへ	往昔
いぬ	犬
いぬ	狗
いぬい	乾
いぬいろくろう	乾緑郎
いぬかい	犬飼
いぬきまとい	射貫まとい
いぬぶし	犬伏
いぬぼう	犬吠
いねわら	稲藁
いのう	伊奈冨
いのうえ	井上
いのち	生命
いのちのしずく	生命の酒
いのちろん	生命論
いのほり	亥の堀
いのりのうた	祈りの歌
いは	况
いは	斎
いはいのみや	斎宮
いはきろう	岩喜樓
いはつき	石坏
いはのひめ	石之日売
いはゆる	所謂
いはれ	伊波禮
いはれ	石寸
いばじょ	茨女
いひ	云
いひちろう	伊七郎
いび	萎靡
いびただし	揖斐憲
いふぁどん	梨花洞
いぶ	衣部
いぶ	韋部
いぶか	訝
いぶきちょうかん	伊吹長官
いぶくろげんしゅ	胃袋原種
いへ	家
いほりののみや	廬入野宮
いぼじょう	疣状
いま	今
いま	坐
いま	未
いま	現在
いまおがしらがわ	今尾頭川
いまし	汝
いましめのかぜ	戒めの風
いまじゅくかみのはる	今宿上ノ原
いまずみ	今泉
いまだ	今田
いまだんばし	今谷橋
いまだんやき	今谷焼
いまばし	今橋
いまよう	今様
いまーむ	指導者
いみ	忌
いみ	意味
いみいろ	忌色
いみずしとしょかん	射水市図書館
いみな	諱
いむらゔぁ	航海譚
いも	妹
いも	藷
いもい	斎
いもう	芋生
いもうと	義妹
いもうとじま	妹島
いもじ	鋳物師
いもちょう	芋長
いもっこ	妹っ子
いもろぎ	飯盛木
いや	厭
いやがわ	祖谷川
いやさか	弥栄
いやし	賤
いやしく	苟
いやしのかぜ	癒しの風
いやだか	弥高
いやちこ	灼然
いよいよ	弥弥
いよいよ	愈々
いらんかくめい	イラン革命
いり	圦
いりえ	入江
いりえすまじんぞく	イリエス魔人族
いりん	依玲
いるいかんそうき	衣類乾燥機
いるかざ	いるか座
いるぼん	日本
いれ	入
いろ	色
いろぢゃや	色茶屋
いろどり	彩
いろりなべ	囲炉裏鍋
いわ	云
いわ	曰
いわ	況
いわい	岩井
いわお	巌
いわかさ	岩笠
いわきりまなぶ	岩切學
いわくら	磐座
いわこんじょう	岩紺青
いわさき	岩崎
いわじま	岩島
いわとじま	岩戸島
いわながひめ	石長比売
いわべにしし	岩紅獅子
いわみごうつ	石見江津
いわらぐち	岩原口
いわれ	磐余
いわん	況
いん	銀
いん	院
いんえい	陰映
いんおんきょう	殷温嬌
いんが	陰我
いんきょ	允許
いんきょう	殷嶠
いんぎんぶれい	慇懃無礼
いんさつ	印刷
いんし	院試
いんじゅんこそく	因循姑息
いんじゆんこそく	因循姑息
いんせい	隠棲
いんせいんと	銀盤
いんぞ	因所
いんちき	銭
いんちゅあん	銀川
いんちゅうしゃれん	咽中炙臠
いんてぐらるりったいてれび	インテグラル立体テレビ
いんてりあすぺーすあや	インテリアスペース彩
いんでっくす	禁書目録
いんとん	隠遁
いんどうぼう	引導坊
いんのう	陰嚢
いんば	因幡
いんぱくと	衝撃
いんぱるすかんすう	インパルス関数
いんぷう	陰風
いんぺい	隠蔽
いんもん	陰門
いんゆ	隠喩
いんようふ	引用符
いゔぃるどらごん	悪竜
いーじす	盾の乙女
いーじすとらいがー	神盾撃器
うぃすかー	龍髭
うぃっち	妖婆
うぃっち	魔女
うぃんがーど	飛竜騎士
うぃんどどらごんぞく	風竜族
うぇいにゃん	偽娘
うぇいぼー	微博
うぇこむんど	虚圏
うぇすたりす	西国
うぇーかた	親方
うえ	上
うえき	上村
うえきもり	上村森
うえだ	上田
うえにんじぞうぼさつ	飢人地蔵菩薩
うえね	上家
うえはら	上原
うえはるのかみ	殖春神
うえばら	上原
うぉっか	火酒
うぉーそうとう	ウォー槍刀
うぉーたーどらごんぞく	水竜族
うぉーらいく	戦争妖精
うお	魚
うおずみ	魚住
うおのまち	魚町
うか	泛
うか	浮
うかいがわ	宇甘川
うかが	闚
うかやふきあへずのみこと	鵜葺草葺不合命
うかんがわ	有漢川
うがい	鵜飼
うがじんじゃ	宇賀神社
うがのみたまのみこと	宇賀魂命
うきぐも	浮雲
うきぶくろ	鰾
うきよ	浮世
うきよえ	浮世絵
うくらいなのえいゆうとし	ウクライナの英雄都市
うこさべん	右顧左眄
うこん	鬱金
うご	動
うさぎ	彼女
うさぎざ	うさぎ座
うさむら	ウサ村
うさん	胡散
うしおりがみ	牛折神
うしおわきあが	涌潮
うしじま	牛島
うしぞう	烏斯蔵
うしぞうこく	烏斯蔵国
うしでぃすく	牛ディスク
うしな	失
うしのみこと	大人命
うしやま	牛山
うしゅべつがわ	牛朱別川
うしろおばた	後小畑
うしろばま	うしろ浜
うしわかまる	牛若丸
うしわくまる	牛わく丸
うじ	宇治
うじ	氏
うじきんとき	宇治金時
うじな	氏名
うじひこ	莵道彦
うじむし	蛆蟲
うじゃ	宇蛇
うす	臼
うすい	烏須井
うすいえんどう	碓井豌豆
うすかげ	薄影
うすけし	宇須岸
うすゆき	薄雪
うすらい	薄氷
うずひこ	宇豆比古
うずまがわ	巴波川
うずら	鶉
うそうぜんじ	烏巣禅師
うた	歌
うた	譜
うた	転
うたがい	疑
うたごえほうそうぶぷろじぇくと	ウタゴエ放送部プロジェクト
うたしない	歌志内
うたすつ	歌棄
うたの	菟田野
うたのかみけ	雅楽頭家
うたひめ	歌姫
うたりじんじゃ	菟足神社
うたろう	宇太郎
うち	中
うちう	宇宙
うちだ	内田
うちのみたまどの	内御玉殿
うちはま	内浜
うちゅういみん	宇宙移民
うちゅうきのどっきんぐおよびけいりゅう	宇宙機のドッキングおよび係留
うちゅうぎじゅつかいはつきこう	宇宙技術開発機構
うちゅうくうかん	宇宙空間
うちゅうこうがく	宇宙工学
うちゅうしょくみん	宇宙植民
うちゅうじん	宇宙塵
うちゅうせいぶつがく	宇宙生物学
うちゅうそくど	宇宙速度
うちゅうななし	宇宙ナナシ
うちゅうのいんふれーしょん	宇宙のインフレーション
うちゅうのねんぴょう	宇宙の年表
うちゅうはんたー	宇宙狩人
うちゅうぼかんいんでべーだー	宇宙母艦インデベーダー
うちゅうやろうらいでん	宇宙野郎雷電
うちゅうりゅう	宇宙竜
うぢ	姓
うぢ	氏
うっかがー	金武大川
うっけつ	鬱血
うった	打田
うったい	鬱滞
うっとうおんせん	打当温泉
うっとうがわ	打当川
うつ	冩
うつ	打
うつ	遷
うつく	妍
うつく	美
うつくし	美麗
うつしよ	現世
うつしよ	顕界
うつせみまる	空蝉丸
うつつ	現界
うつの	内野
うつわ	器世間
うづき	卯月
うづも	埋
うづゑ	珍笑
うでげんしゅ	腕原種
うなず	首肯
うぬ	汝
うぬぼ	自惚
うね	釆
うねびりょうぼさんこうち	畝傍陵墓参考地
うねめ	采女
うはん	雲帆
うば	乳母
うば	姥
うばそく	優婆塞
うぶ	初心
うぶ	羽部
うぶ	雨部
うぶすながみ	産土神
うへ	上
うまおさ	馬長
うましあしかびひこじのかみ	宇麻志阿斯訶備比古遅神
うましじんじゃ	宇麻志神社
うましじんじゃ	馬子神社
うまのり	騎馬
うまや	厩
うみ	海
うみ	湖
うみ	滄溟
うみかな	思加那
うみがわ	宇美川
うみこぼうず	海小坊主
うみさちひこ	海幸彦
うみとぅくがに	思徳金
うみまちちゃちゃちゃ	海街チャチャチャ
うむいかじ	想い風
うめ	梅
うめざわ	梅沢
うめたお	埋殪
うめづる	梅鶴
うめのい	梅ノ井
うめのはな	梅の花
うめばち	梅鉢
うやむや	有耶無耶
うやんこー	高祖祭
うら	憾
うら	浦
うらうめ	裏梅
うらうめばち	裏梅鉢
うらおーだー	裏オーダー
うらけい	裏罫
うらこやま	宇良古山
うらしのびたいまぐみ	裏忍退魔組
うらじげんはくしゃくらでぃげ	裏次元伯爵ラディゲ
うらそうご	裏ソウゴ
うらべ	卜部
うらまさ	裏正
うらみ	怨
うらみ	裏見
うらみみじんじゃ	麗耳神社
うらめにゅー	裏メニュー
うらや	羨
うりあげそうりえき	売上総利益
うりあげだかえいぎょうりえきりつ	売上高営業利益率
うりうり	瓜売
うりさばき	売捌
うりりがわ	有利里川
うるとらそなー	超波動探知
うるとらみゅーじかる	超歌劇
うるふ	狼
うるわしのびゃっこ	麗しの白虎
うれ	恤
うれ	愁
うれひ	患
うろこ	鱗
うろぼろす	身喰らう蛇
うわぐすり	釉薬
うん	芸
うん	韵
うんかんこく	雲鬟国
うんぎょう	吽形
うんげんさいしき	繧繝彩色
うんぜん	温泉
うんたいけんしょう	雲梯顕聖
うんだい	雲岱
うんてい	雲梯
うんてん	運転
うんどう	運動
うんどうえねるぎー	運動エネルギー
うんどうりょう	運動量
うんぬん	云々
うんばん	雲版
うんぼうだいたく	雲夢大沢
えい	嬴
えい	映
えい	栄
えい	榮
えい	郢
えいあいりょうすーだん	英埃領スーダン
えいえいとう	鋭鋭刀
えいおう	衛王
えいか	穎果
えいか	穎花
えいがのときわすれ	栄花の秋忘れ
えいがん	永観
えいきゅう	永久
えいきゅうのひ	永久の灯
えいきゅうるーぷ	永久ループ
えいきょう	永享
えいぎょうりえき	営業利益
えいこう	曳航
えいこうきしろーぜ	影煌騎士狼是
えいこうまる	栄光丸
えいご	英語
えいしゅう	瀛洲
えいしゅん	英舜
えいしょう	永承
えいしょう	永正
えいじ	永治
えいじょく	栄辱
えいじろう	英二郎
えいすけ	栄助
えいせいこうはしゅりけん	鋭星光波手裏剣
えいそ	永祚
えいぞうしりょう	映像資料
えいだん	営団
えいだんちかてつ	営団地下鉄
えいちょう	永長
えいてい	英貞
えいとく	永徳
えいとげだん	鋭棘弾
えいにん	永仁
えいぶつか	詠物歌
えいほう	永保
えいまん	永万
えいやう	榮養
えいゆうあいこん	英雄眼魂
えいり	営利
えいりあんらぷそでぃー	異星人狂奏曲
えいりゃく	永暦
えいりん	嬰鱗
えいろく	永禄
えいわ	永和
えう	要
えうぽまてぃあか	エウポマティア科
えうろぱ	欧羅巴
えが	画
えがきて	描き手
えがた	得難
えがん	恵岸
えき	益
えきじんさい	疫神祭
えきぞちっく	異国趣味
えきちう	液中
えきちょう	駅長
えきまじん	役魔陣
えきり	疫痢
えくあどるきょうわこく	エクアドル共和国
えくせるしあ	冠絶の姫王
えくれーる	紫電
えぐぞだす	逃奏劇
えぐち	江口
えこ	依怙
えこだ	江古田
えこひいき	依怙贔屓
